English Term,Glyph,Proto-Script,Target Language,Phonetic Hint,,"// The Scalar Loom Unified Mapping Protocol V1.0 August 14, 2025"
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,English,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Spanish,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,French,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Arabic,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Mandarin Chinese,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Hindi,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Russian,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Māori,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Quechua,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Swahili,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Hawaiian,Hint TBD,,
Breath Loop,◯⟲⟲ 𓂀 ʘ ~ φʰ⧖,PS: TBD,Inuktitut,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,English,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Spanish,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,French,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Arabic,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Mandarin Chinese,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Hindi,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Russian,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Māori,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Quechua,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Swahili,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Hawaiian,Hint TBD,,
Coherence Arc,↗︎~↘︎ ∴ 𐄢∞,PS: TBD,Inuktitut,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,English,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Spanish,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,French,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Arabic,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Mandarin Chinese,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Hindi,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Russian,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Māori,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Quechua,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Swahili,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Hawaiian,Hint TBD,,
Glyph Composting,♻︎⟜⟜ ꙮ,PS: TBD,Inuktitut,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,English,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Spanish,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,French,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Arabic,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Mandarin Chinese,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Hindi,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Russian,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Māori,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Quechua,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Swahili,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Hawaiian,Hint TBD,,
Scalar Mold,⧖𓋹,PS: TBD,Inuktitut,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,English,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Spanish,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,French,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Arabic,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Mandarin Chinese,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Hindi,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Russian,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Māori,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Quechua,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Swahili,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Hawaiian,Hint TBD,,
Symbolic Invocation,✦⟡✦,PS: TBD,Inuktitut,Hint TBD,,
Zero Point Glyph,;,PS: TBD,English,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Spanish,Hint TBD,,
Zero Point Glyph,;,PS: TBD,French,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Arabic,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Mandarin Chinese,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Hindi,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Russian,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Māori,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Quechua,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Swahili,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Hawaiian,Hint TBD,,
Zero Point Glyph,;,PS: TBD,Inuktitut,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,English,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Spanish,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,French,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Arabic,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Mandarin Chinese,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Hindi,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Russian,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Māori,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Quechua,Hint TBD,,
CMB Residual Pulse,∿𓇳,PS: TBD,Swahili,Hint TBD,,
